Question,Option A,Option B,Option C,Option D,Correct Answer
Topic 1,Configure the VPC as a Shared VPC Host project.,Configure your network services on the Standard Tier.,Configure your Kubernetes cluster as a Private Cluster.,Configure a Google Cloud HTTP Load Balancer as Ingress.,
Topic 1,"Verify the maximum node pool size, enable a horizontal pod autoscaler, and then perform a load test to verify your expected resource needs.","Because you are deployed on GKE and are using a cluster autoscaler, your GKE cluster will scale automatically, regardless of growth rate.","Because you are at only 30% utilization, you have significant headroom and you won't need to add any additional capacity for this rate of growth.","Proactively add 60% more node capacity to account for six months of 10% growth rate, and then perform a load test to make sure you have enough capacity.",
Topic 1,Use Cloud Build to trigger a Spinnaker pipeline.,Use Cloud Pub/Sub to trigger a Spinnaker pipeline.,Use a custom builder in Cloud Build to trigger Jenkins pipeline.,Use Cloud Pub/Sub to trigger a custom deployment service running in Google Kubernetes Engine (GKE).,
Topic 1,Enable Cloud Security Scanner on the clusters.,Enable Vulnerability Analysis on the Container Registry.,Set up the Kubernetes Engine clusters as private clusters.,Set up the Kubernetes Engine clusters with Binary Authorization.,
Topic 1,Use Stackdriver Kubernetes Engine Monitoring.,"Use Prometheus to collect and aggregate logs per container, and then analyze the results in Grafana.","Use the Stackdriver Monitoring API to create custom metrics, and then organize your containers using groups.","Use Stackdriver Logging to export application logs to BigQuery, aggregate logs per container, and then analyze CPU and memory consumption.",
Topic 1,Create an automated testing script in production to detect failures as soon as they occur.,Create a development environment with smaller server capacity and give access only to developers and testers.,Secure the production environment to ensure that developers can't change it and set up one controlled update per year.,"Create a development environment for writing code and a test environment for configurations, experiments, and load testing.",
Topic 1,flex/connections/current,tcp_ssl_proxy/new_connections,tcp_ssl_proxy/open_connections,flex/instance/connections/current,
Topic 1,Check the serial port logs of the Compute Engine instance.,Use Stackdriver Profiler to visualize the resources utilization throughout the application.,Determine whether there is an increased number of connections to the Cloud SQL instance.,Use Cloud Security Scanner to see whether your Cloud SQL is under a Distributed Denial of Service (DDoS) attack.,
Topic 1,Reference the image digest in the source control tag.,Supply the source control tag as a parameter within the image name.,Use Cloud Build to include the release version tag in the application image.,Use GCR digest versioning to match the image to the tag in source control.,
Topic 1,Look for ways to mitigate user impact and deploy the mitigations to production.,Contact the affected service owners and update them on the status of the incident.,Establish a communication channel where incident responders and leads can communicate with each other.,"Start a postmortem, add incident information, circulate the draft internally, and ask internal stakeholders for input.",
Topic 1,Grant relevant team members read access to all GCP production projects. Create Stackdriver workspaces inside each project.,Grant relevant team members the Project Viewer IAM role on all GCP production projects. Create Stackdriver workspaces inside each project.,Choose an existing GCP production project to host the monitoring workspace. Attach the production projects to this workspace. Grant relevant team members read access to the Stackdriver Workspace.,Create a new GCP monitoring project and create a Stackdriver Workspace inside it. Attach the production projects to this workspace. Grant relevant team members read access to the Stackdriver Workspace.,
Topic 1,1. Export VM utilization logs from Stackdriver to BigQuery. 2. Create a dashboard in Data Studio. 3. Share the dashboard with your stakeholders.,"1. Export VM utilization logs from Stackdriver to Cloud Pub/Sub. 2. From Cloud Pub/Sub, send the logs to a Security Information and Event Management (SIEM) system. 3. Build the dashboards in the SIEM system and share with your stakeholders.","1. Export VM utilization logs from Stackdriver to BigQuery. 2. From BigQuery, export the logs to a CSV file. 3. Import the CSV file into Google Sheets. 4. Build a dashboard in Google Sheets and share it with your stakeholders.",1. Export VM utilization logs from Stackdriver to a Cloud Storage bucket. 2. Enable the Cloud Storage API to pull the logs programmatically. 3. Build a custom data visualization application. 4. Display the pulled logs in a custom dashboard.,
Topic 1,Purchase Committed Use Discounts.,Migrate the instances to a Managed Instance Group.,Convert the instances to preemptible virtual machines.,Create an Unmanaged Instance Group for the instances used to run the workload.,
Topic 1,Adjust the SLO targets to be achievable by the service so you can bring it into production.,Notify the development team that they will have to provide production support for the service.,Identify recommended reliability improvements to the service to be completed before handover.,Bring the service into production with no SLOs and build them when you have collected operational data.,
Topic 1,Roll back the experimental canary release.,"Start monitoring latency, traffic, errors, and saturation.",Record data for the postmortem document of the incident.,Trace the origin of 500 errors and the root cause of increased latency.,
Topic 1,ג€¢ Store your code in a Git-based version control system. ג€¢ Establish a process that allows developers to merge their own changes at the end of each day. ג€¢ Package and upload code to a versioned Cloud Storage basket as the latest master version.,ג€¢ Store your code in a Git-based version control system. ג€¢ Establish a process that includes code reviews by peers and unit testing to ensure integrity and functionality before integration of code. ג€¢ Establish a tv process where the fully integrated code in the repository becomes the latest master version.,"ג€¢ Store your code as text files in Google Drive in a defined folder structure that organizes the files. ג€¢ At the end of each day, confirm that all changes have been captured in the files within the folder structure. ג€¢ Rename the folder structure with a predefined naming convention that increments the version.","ג€¢ Store your code as text files in Google Drive in a defined folder structure that organizes the files. ג€¢ At the end of each day, confirm that all changes have been captured in the files within the folder structure and create a new .zip archive with a predefined naming convention. ג€¢ Upload the .zip archive to a versioned Cloud Storage bucket and accept it as the latest version.",
Topic 1,A quality SLI: the ratio of non-degraded responses to total responses.,An availability SLI: the ratio of healthy microservices to the total number of microservices.,A freshness SLI: the proportion of widgets that have been updated within the last 10 minutes.,A latency SLI: the ratio of microservice calls that complete in under 100 ms to the total number of microservice calls.,
Topic 1,Your application servers' logs.,Instrumentation coded directly in the client.,Metrics exported from the application servers.,GKE health checks for your application servers.,
Topic 1,"Publish various metrics from the application directly to the Stackdriver Monitoring API, and then observe these custom metrics in Stackdriver.","Install the Cloud Pub/Sub client libraries, push various metrics from the application to various topics, and then observe the aggregated metrics in Stackdriver.","Install the OpenTelemetry client libraries in the application, configure Stackdriver as the export destination for the metrics, and then observe the application's metrics in Stackdriver.","Emit all metrics in the form of application-specific log messages, pass these messages from the containers to the Stackdriver logging collector, and then observe metrics in Stackdriver.",
Topic 1,File a bug with the development team so they can find the root cause of the crashing instance.,Create a Managed instance Group with a single instance and use health checks to determine the system status.,Add a Load Balancer in front of the Compute Engine instance and use health checks to determine the system status.,Create a Stackdriver Monitoring dashboard with SMS alerts to be able to start recreating the crashed instance promptly after it was crashed.,
Topic 1,Prompt developers for secrets at build time. Instruct developers to not store secrets at rest.,Store secrets in a separate configuration file on Git. Provide select developers with access to the configuration file.,Store secrets in Cloud Storage encrypted with a key from Cloud KMS. Provide the CI/CD pipeline with access to Cloud KMS via IAM.,Encrypt the secrets and store them in the source code repository. Store a decryption key in a separate repository and grant your pipeline access to it.,
Topic 1,Focus on responding to internal stakeholders at least every 30 minutes. Commit to ג€next updateג€ times.,Provide periodic updates to all stakeholders in a timely manner. Commit to a ג€next updateג€ time in all communications.,Delegate the responding to internal stakeholder emails to another member of the Incident Response Team. Focus on providing responses directly to customers.,"Provide all internal stakeholder emails to the Incident Commander, and allow them to manage internal communications. Focus on providing responses directly to customers.",
Topic 1,Assign the Container Developer role to the Cloud Build service account.,Specify the Container Developer role for Cloud Build in the cloudbuild.yaml file.,Create a new service account with the Container Developer role and use it to run Cloud Build.,Create a separate step in Cloud Build to retrieve service account credentials and pass these to kubectl.,
Topic 1,Link Stackdriver Logging as a source in Google Data Studio. Filter the logs on the cache misses.,Configure Stackdriver Profiler to identify and visualize when the cache misses occur based on the logs.,Create a logs-based metric in Stackdriver Logging and a dashboard for that metric in Stackdriver Monitoring.,Configure BigQuery as a sink for Stackdriver Logging. Create a scheduled query to filter the cache miss logs and write them to a separate table.,
Topic 1,Use the n1-highcpu-96 machine type in the configuration of the MIG.,Monitor results of Stackdriver Trace to determine the required amount of resources.,Validate that the resource requirements are within the available quota limits of each region.,Deploy the service in one region and use a global load balancer to route traffic to this region.,
Topic 1,"Create a basic log filter matching userinfo, and then configure a log export in the Stackdriver console with Cloud Storage as a sink.","Use a Fluentd filter plugin with the Stackdriver Agent to remove log entries containing userinfo, and then copy the entries to a Cloud Storage bucket.","Create an advanced log filter matching userinfo, configure a log export in the Stackdriver console with Cloud Storage as a sink, and then configure a log exclusion with userinfo as a filter.","Use a Fluentd filter plugin with the Stackdriver Agent to remove log entries containing userinfo, create an advanced log filter matching userinfo, and then configure a log export in the Stackdriver console with Cloud Storage as a sink.",
Topic 1,Disable the CI pipeline and revert to manually building and pushing the artifacts.,Change the CI pipeline to push the artifacts is Container Registry instead of Docker Hub.,Upload the configuration YAML file to Cloud Storage and use Error Reporting to identify and fix the issue.,Run a Git compare between the previous and current Cloud Build Configuration files to find and fix the bug.,
Topic 1,Identify engineers responsible for the incident and escalate to their senior management.,Ensure that test cases that catch errors of this type are run successfully before new software releases.,Follow up with the employees who reviewed the changes and prescribe practices they should follow in the future.,Design a policy that will require on-call teams to immediately call engineers and management to discuss a plan of action if an incident occurs.,
Topic 1,Review current application metrics and add new ones as needed.,Modify the code to capture additional information for user interaction.,Analyze the web proxy logs only and capture response time of each request.,Create new synthetic clients to simulate a user journey using the application.,
Topic 1,Grant the team members the IAM role of logging.configWriter on Cloud IAM.,Configure Access Context Manager to allow only these members to export logs.,Create and grant a custom IAM role with the permissions logging.sinks.list and logging.sink.get.,Create an Organizational Policy in Cloud IAM to allow only these members to create log exports.,
Topic 1,Configure the horizontal pod autoscaler to use the average response time from the Liveness and Readiness probes.,Configure the vertical pod autoscaler in GKE and enable the cluster autoscaler to scale the cluster as pods expand.,Install the Stackdriver custom metrics adapter and configure a horizontal pod autoscaler to use the number of requests provided by the GCLB.,Expose the NGINX stats endpoint and configure the horizontal pod autoscaler to use the request metrics exposed by the NGINX deployment.,
Topic 1,Operations Lead,Engineering Lead,Communications Lead,Customer Impact Assessor,
Topic 1,Download and configure a third-party integration between Stackdriver Monitoring and an SMS gateway. Ensure that your team members add their SMS/phone numbers to the external tool.,"Select the Webhook notifications option for each alerting policy, and configure it to use a third-party integration tool. Ensure that your team members add their SMS/phone numbers to the external tool.",Ensure that your team members set their SMS/phone numbers in their Stackdriver Profile. Select the SMS notification option for each alerting policy and then select the appropriate SMS/phone numbers from the list.,Configure a Slack notification for each alerting policy. Set up a Slack-to-SMS integration to send SMS messages when Slack messages are received. Ensure that your team members add their SMS/phone numbers to the external integration.,
Topic 1,"ג€¢ In your application, create a metric with a metricKind set to DELTA and a valueType set to DOUBLE. ג€¢ In Stackdriver's Metrics Explorer, use a Stacked Bar graph to visualize the metric.","ג€¢ In your application, create a metric with a metricKind set to CUMULATIVE and a valueType set to DOUBLE. ג€¢ In Stackdriver's Metrics Explorer, use a Line graph to visualize the metric.","ג€¢ In your application, create a metric with a metricKind set to GAUGE and a valueType set to DISTRIBUTION. ג€¢ In Stackdriver's Metrics Explorer, use a Heatmap graph to visualize the metric.","ג€¢ In your application, create a metric with a metricKind set to METRIC_KIND_UNSPECIFIED and a valueType set to INT64. ג€¢ In Stackdriver's Metrics Explorer, use a Stacked Area graph to visualize the metric.",
Topic 1,"Import the Stackdriver Profiler package, and configure it to relay function timing data to Stackdriver for further analysis.","Import the Stackdriver Debugger package, and configure the application to emit debug messages with timing information.","Instrument the code using a timing library, and publish the metrics via a health check endpoint that is scraped by Stackdriver.","Install an Application Performance Monitoring (APM) tool in both locations, and configure an export to a central data storage location for analysis.",
Topic 1,A scalable in-memory caching system.,The organization's public-facing website.,"A distributed, eventually consistent NoSQL database cluster with sufficient quorum.",A GPU-accelerated video rendering platform that retrieves and stores videos in a storage bucket.,
Topic 1,Configure the build system with protected branches that require pull request approval.,Use an Admission Controller to verify that incoming requests originate from approved sources.,Leverage Kubernetes Role-Based Access Control (RBAC) to restrict access to only approved users.,Enable binary authorization inside the Kubernetes cluster and configure the build pipeline as an attestor.,
Topic 1,Change the specified SLO to match the measured SLI,Move the service to higher-specification compute instances with more memory,Set up additional service instances in other zones and load balance the traffic between all instances,Set up additional service instances in other zones and use them as a failover in case the primary instance is unavailable,
Topic 1,Enable VPC Flow Logs on the production VPC network frontend and backend subnets only with a sample volume scale of 0.5.,Enable VPC Flow Logs on the production VPC network frontend and backend subnets only with a sample volume scale of 1.0.,Enable VPC Flow Logs on the testing and production VPC network frontend and backend subnets with a volume scale of 0.5. Apply changes in testing before production.,Enable VPC Flow Logs on the testing and production VPC network frontend and backend subnets with a volume scale of 1.0. Apply changes in testing before production.,
Topic 1,Confirm that the Stackdriver agent has been installed in the hosting virtual machine.,Confirm that your account has the proper permissions to use the Stackdriver dashboard.,Confirm that port 25 has been opened in the firewall to allow messages through to Stackdriver.,Confirm that the application is using the required client library and the service account key has proper permissions.,
Topic 1,Set up Container Analysis to scan and report Common Vulnerabilities and Exposures.,Configure the containers in the build pipeline to always update themselves before release.,Reconfigure the existing operating system vulnerability software to exist inside the container.,Implement static code analysis tooling against the Docker files used to create the containers.,
Topic 1,Use Cloud Storage to cache intermediate artifacts.,Run multiple Jenkins agents to parallelize the build.,Use multiple smaller build steps to minimize execution time.,Use larger Cloud Build virtual machines (VMs) by using the machine-type option.,
Topic 1,Roll back the recent release.,Review the Stackdriver monitoring.,Upsize the virtual machines running the login services.,Deploy a new release to see whether it fixes the problem.,
Topic 1,Store the encryption keys in Cloud Key Management Service (KMS) and rotate the keys frequently,Inject the secret at the time of instance creation via an encrypted configuration management system.,Integrate the application with a Single sign-on (SSO) system and do not expose secrets to the application.,Leverage a continuous build pipeline that produces multiple versions of the secret for each instance of the application.,
Topic 1,Eliminate unactionable alerts.,Create an incident report for each of the alerts.,Distribute the alerts to engineers in different time zones.,Redefine the related Service Level Objective so that the error budget is not exhausted.,
Topic 1,Load teat the application to profile its performance for scaling.,"Enable AutoScaling on the production clusters, in case there is growth.","Pre-provision double the compute power used last season, expecting growth.",Create a runbook on inflating the disaster recovery (DR) environment if there is growth.,
Topic 1,Upgrade the GCS buckets to Multi-Regional.,Enable high availability on the CloudSQL instances.,Move the application from App Engine to Compute Engine.,Modify the App Engine configuration to have additional idle instances.,
Topic 1,Implement Jenkins on local workstations.,Implement Jenkins on Kubernetes on-premises.,Implement Jenkins on Google Cloud Functions.,Implement Jenkins on Compute Engine virtual machines.,
Topic 1,Create a Cloud Storage bucket and develop your application to send logs directly to the bucket.,Develop an App Engine application that pulls the logs from Stackdriver and saves them in BigQuery.,Create an export in Stackdriver and configure Cloud Pub/Sub to store logs in permanent storage for seven years.,"Create a sink in Stackdriver, name it, create a bucket on Cloud Storage for storing archived logs, and then select the bucket as the log export destination.",
Topic 1,"Install the Stackdriver Error Reporting library for Python, and then run your code on a Compute Engine VM.","Install the Stackdriver Error Reporting library for Python, and then run your code on Google Kubernetes Engine.","Install the Stackdriver Error Reporting library for Python, and then run your code on App Engine flexible environment.","Use the Stackdriver Error Reporting API to write errors from your application to ReportedErrorEvent, and then generate log entries with properly formatted error messages in Stackdriver Logging.",
Topic 1,"90 percentile ג€"" 100ms th 95 percentile ג€"" 250ms th","90 percentile ג€"" 120ms th 95 percentile ג€"" 275ms th","90 percentile ג€"" 150ms th 95 percentile ג€"" 300ms th","90 percentile ג€"" 250ms th 95 percentile ג€"" 400ms th",
Topic 1,Develop an appropriate error budget policy in cooperation with all service stakeholders.,Negotiate with the product team to always prioritize service reliability over releasing new features.,Negotiate with the development team to reduce the release frequency to no more than once a week.,Add a plugin to your Jenkins pipeline that prevents new releases whenever your service is out of SLO.,
Topic 1,Push the images to Google Container Registry (GCR) using the gcr.io hostname.,Push the images to Google Container Registry (GCR) using the us.gcr.io hostname.,Push the images to Google Container Registry (GCR) using the eu.gcr.io hostname.,Push the images to a private image registry running on a Compute Engine instance in the eu-west-1 region.,
Topic 1,"In the Google Cloud Platform Console, use the Cost Breakdown section to visualize the costs per system.",Assign all instances a label specific to the system they run. Configure BigQuery billing export and query costs per label.,"Enrich all instances with metadata specific to the system they run. Configure Stackdriver Logging to export to BigQuery, and query costs based on the metadata.",Name each virtual machine (VM) after the system it runs. Set up a usage report export to a Cloud Storage bucket. Configure the bucket as a source in BigQuery to query costs based on VM name.,
Topic 1,Create a Cloud Storage bucket and use the built-in encryption at rest. Store the secrets in the bucket and grant Cloud Build access to the bucket.,Encrypt the secrets and store them in the application repository. Store a decryption key in a separate repository and grant Cloud Build access to the repository.,Use client-side encryption to encrypt the secrets and store them in a Cloud Storage bucket. Store a decryption key in the bucket and grant Cloud Build access to the bucket.,Use Cloud Key Management Service (Cloud KMS) to encrypt the secrets and include them in your Cloud Build deployment configuration. Grant Cloud Build access to the KeyRing.,
Topic 1,Reroute the user traffic from the affected region to other regions that don't report issues.,Use Stackdriver Monitoring to check for a spike in CPU or memory usage for the affected region.,Add an extra node pool that consists of high memory and high CPU machine type instances to the cluster.,"Use Stackdriver Logging to filter on the clusters in the affected region, and inspect error messages in the logs.",
Topic 1,An explanation of the root cause of the incident.,A list of employees responsible for causing the incident,A list of action items to prevent a recurrence of the incident,Your opinion of the incident's severity compared to past incidents,
Topic 1,Use a partitioned rolling update.,Use Node taints with NoExecute.,Use a replica set in the deployment specification.,Use a stateful set with parallel pod management policy.,
Topic 1,As the I/O wait times aggregated across all report generation backends,As the proportion of report generation requests that result in a successful response,As the application's report generation queue size compared to a known-good threshold,As the reporting backend PD throughout capacity compared to a known-good threshold,
Topic 1,Analyze VPC flow logs along the path of the request.,Investigate the Liveness and Readiness probes for each service.,Create a Dataflow pipeline to analyze service metrics in real time.,Use a distributed tracing framework such as OpenTelemetry or Stackdriver Trace.,
Topic 1,Assign one owner for each action item and any necessary collaborators.,Assign multiple owners for each item to guarantee that the team addresses items quickly.,Assign collaborators but no individual owners to the items to keep the postmortem blameless.,Assign the team lead as the owner for all action items because they are in charge of the SRE team.,
Topic 1,Introduce the new version of the API. Announce deprecation of the old version of the API. Deprecate the old version of the API. Contact remaining users of the old API. Provide best effort support to users of the old API. Turn down the old version of the API.,Announce deprecation of the old version of the API. Introduce the new version of the API. Contact remaining users on the old API. Deprecate the old version of the API. Turn down the old version of the API. Provide best effort support to users of the old API.,Announce deprecation of the old version of the API. Contact remaining users on the old API. Introduce the new version of the API. Deprecate the old version of the API. Provide best effort support to users of the old API. Turn down the old version of the API.,Introduce the new version of the API. Contact remaining users of the old API. Announce deprecation of the old version of the API. Deprecate the old version of the API. Turn down the old version of the API. Provide best effort support to users of the old API.,
Topic 1,Use the filter-record-transformer Fluentd filter plugin to remove the fields from the log entries in flight.,Use the fluent-plugin-record-reformer Fluentd output plugin to remove the fields from the log entries in flight.,"Wait for the application developers to patch the application, and then verify that the log entries are no longer exposing PII.","Stage log entries to Cloud Storage, and then trigger a Cloud Function to remove the fields and write the entries to Stackdriver via the Stackdriver Logging API.",
Topic 1,Focus on developing new features rather than avoiding the outages from recurring.,Focus on identifying the contributing causes of the incident rather than the individual responsible for the cause.,Plan individual meetings with all the engineers involved. Determine who approved and pushed the new release to production.,Use the Git history to find the related code commit. Prevent the engineer who made that commit from working on production services.,
Topic 1,Add more serving capacity to all of your application's zones.,Have more frequent or potentially risky application releases.,Tighten the SLO match the application's observed reliability.,Implement and measure additional Service Level Indicators (SLIs) fro the application.,
Topic 1,Make the service's SLO more strict.,Increase the service's deployment velocity and/or risk.,Shift engineering time to other services that need more reliability.,Get the product team to prioritize reliability work over new features.,
Topic 1,Identify engineers responsible for the incident and escalate to the senior management.,Ensure that test cases that catch errors of this type are run successfully before new software releases.,Follow up with the employees who reviewed the changes and prescribe practices they should follow in the future.,Design a policy that will require on-call teams to immediately call engineers and management to discuss a plan of action if an incident occurs.,
Topic 1,Replace the CAB with a senior manager to ensure continuous oversight from development to deployment.,"Let developers merge their own changes, but ensure that the team's deployment platform can roll back changes if any issues are discovered.",Move to a peer-review based process for individual changes that is enforced at code check-in time and supported by automated tests.,Batch changes into larger but less frequent software releases.,
Topic 1,Deploy the canary release of the application to Cloud Run. Use traffic splitting to direct 10% of user traffic to the canary release based on the revision tag.,Deploy the canary release of the application to App Engine. Use traffic splitting to direct a subset of user traffic to the new version based on the IP address.,Deploy the canary release of the application to Compute Engine. Use Anthos Service Mesh with Compute Engine to direct 10% of user traffic to the canary release by configuring the virtual service.,Deploy the canary release to Google Kubernetes Engine with Anthos Service Mesh. Use traffic splitting to direct 10% of user traffic to the new version based on the user-agent header configured in the virtual service.,
Topic 1,Create SLIs from metrics. Enable Alert Policies if the services do not pass.,Use the metrics from Anthos Service Mesh to measure the health of the microservices.,Create a SLO. Create an Alert Policy on select_slo_burn_rate.,Create a SLO and configure uptime checks for your services. Enable Alert Policies if the services do not pass.,
Topic 1,"Use the gcloud CLI to install the Ops Agent on each VM listed in the Cloud Asset Inventory,",Select all VMs with an Agent status of Not detected on the Cloud Operations VMs dashboard. Then select Install agents.,Use the gcloud CLI to create an Agent Policy.,Install the Ops Agent on the Compute Engine image by using a startup script,
Topic 1,Enable the Workflows API and route all the logs to Cloud Logging.,Create a central Cloud Monitoring workspace and attach all related projects.,Create an aggregated log sink associated with the production folder that uses a Pub/Sub topic as the destination.,Create an aggregated log sink associated with the production folder that uses a Cloud Logging bucket as the destination.,
Topic 1,Premium Tier with a global load balancer,Premium Tier with a regional load balancer,Standard Tier with a global load balancer,Standard Tier with a regional load balancer,
Topic 1,"Perform a rolling deployment, and test your new application after the deployment is complete.","Perform A/B testing, and test your application periodically after the deployment is complete.","Perform a canary deployment, and test your new application periodically after the new version is deployed.","Perform a blue/green deployment, and test your new application after the deployment is complete.",
Topic 1,"Deploy the new version of the service to the staging environment. Split the traffic, and allow 1% of traffic through to the latest version. Test the latest version. If the test passes, gradually roll out the latest version to the staging and production environments.","Deploy the new version of the service to the staging environment. Split the traffic, and allow 50% of traffic through to the latest version. Test the latest version. If the test passes, send all traffic to the latest version. Repeat for the production environment.","Deploy the new version of the service to the staging environment with a new-release tag without serving traffic. Test the new-release version. If the test passes, gradually roll out this tagged version. Repeat for the production environment.","Deploy a new environment with the green tag to use as the staging environment. Deploy the new version of the service to the green environment and test the new version. If the tests pass, send all traffic to the green environment and delete the existing staging environment. Repeat for the production environment.",
Topic 1,Add N+1 redundancy to your service by adding additional compute resources to the service.,"Identify, measure, and eliminate toil by automating repetitive tasks.",Define an error budget for your service level availability and minimize the remaining error budget.,Allocate available engineers to the feature backlog while you ensure that the service remains within the availability target.,
Topic 1,Recreate deployment and canary testing,Blue/green deployment and canary testing,Rolling update deployment and A/B testing,Rolling update deployment and shadow testing,
Topic 1,"Create a new Kubernetes service account, and assign the service account to the Pods. Use Workload Identity to authenticate as the Google service account.","Create a new JSON service account key for the Google service account, store the key as a Kubernetes secret, inject the key into the Pods, and set the GOOGLE_APPLICATION_CREDENTIALS environment variable.","Create a new Google service account, and assign the appropriate IAM permissions.","Create a new JSON service account key for the Google service account, store the key in the secret management store for the CI/CD tool, and configure Terraform to use this key for authentication.",
Topic 1,Decrease the acknowledgment deadline on the subscription.,Add a virtual queue to the online store that allows typical traffic levels.,Increase the number of Pod replicas.,Increase the Pod CPU and memory limits.,
Topic 1,Use Google Cloud Deploy to deploy the network policies and the DaemonSet. Use Cloud Monitoring to trigger an alert if the network policies and DaemonSet drift from your source in the repository.,Use Google Cloud Deploy to deploy the DaemonSet and use Policy Controller to configure the network policies. Use Cloud Monitoring to detect drifts from the source in the repository and Cloud Functions to correct the drifts.,Use Cloud Build to render and deploy the network policies and the DaemonSet. Set up Config Sync to sync the configurations for the three environments.,Use Cloud Build to render and deploy the network policies and the DaemonSet. Set up a Policy Controller to enforce the configurations for the three environments.,
Topic 1,Create a new pipeline to delete old infrastructure stacks when they are no longer needed.,Confirm that the pipeline is storing and retrieving the terraform.tfstate file from Cloud Storage with the Terraform gcs backend.,Verify that the pipeline is storing and retrieving the terraform.tfstate file from a source control.,Update the pipeline to remove any existing infrastructure before you apply the latest configuration.,
Topic 1,Create a single aggregated log sink at the organization level.,Create a log sink in each project.,"Create two aggregated log sinks at the organization level, and filter by project ID.",Create an aggregated log sink in the Dev and Prod folders.,
Topic 1,Configure Prometheus cross-service federation for centralized data access.,Configure workload metrics within Cloud Operations for GKE.,Configure Prometheus hierarchical federation for centralized data access.,Configure Google Cloud Managed Service for Prometheus.,
